,value
169,3.8004704461965835
170,3.6230604147404493
171,2.953683631279331
172,4.005559770092267
173,3.0586357747179007
174,4.354112829290418
175,2.9668009658863475
176,2.7054921909812903
177,2.636570547084541
178,3.56627246882474
179,2.642888978864338
180,3.78872752537021
181,2.513930444680153
182,3.6463138570626015
183,2.023301110211157
184,3.224668858557032
185,2.1100884683137475
186,2.4056535519548845
187,2.124810861614673
188,0.9425191354992798
189,2.419975582840098
190,1.1991321897824774
191,2.921953827705695
192,2.8583318856107844
193,2.771806144531912
194,2.124114512723562
195,2.414785599461414
196,2.9421685774708286
197,1.4810111603305849
198,3.1262897620120516
199,3.1609478010233665
200,1.3351818511469855
201,3.3003077959018166
202,3.347694174086668
203,2.7790927709137754
204,2.697175930071819
205,2.7210463346734954
206,2.5370861971186
207,2.9509764500919893
208,1.9567397109308713
209,1.0150370191342881
210,3.6752197639127937
211,3.4430004277736423
212,1.2357728503817782
213,2.4396865476738023
214,2.0697877433078147
215,3.282299999900012
216,0.9662615529176322
217,3.7505549347537985
218,3.946063118854636
219,1.614981226503192
220,3.6768643556875698
221,1.7214145708087143
222,1.0883633928551428
223,3.388635010768492
224,1.0851852037736087
225,2.973308403011762
226,2.054970279194692
227,2.8763791225820547
228,2.2613219974649623
229,2.1066092536164533
230,2.7326951270000386
231,1.8833329555268916
232,2.7781215625202753
233,1.1470118444136308
234,2.9593512151229113
235,1.2327829569293454
236,2.7209415330215414
237,1.2419823771457734
238,2.453685813227264
239,1.969552727746931
240,2.1023461089061044
241,2.003423768363973
242,1.7975148482881083
243,2.772073039549395
244,1.9225965228354795
245,2.5211446549593406
246,2.3161944063668694
247,0.9167370205167265
248,3.0459409188804476
249,3.1753617513224586
250,3.5801871394070903
251,2.9730000654899387
252,3.578019155549314
253,3.9431503543745627
254,1.9578612507980298
255,3.30727238736292
256,1.6503523705660677
257,3.2872128311560966
258,2.4365934574789834
259,2.6773540235027813
260,2.5210134799116446
261,2.431912856804268
262,2.9140463546268647
263,2.6068382795480964
264,3.0277842479439614
265,1.9929010756625396
266,3.5692006315299967
267,1.1118288983985936
268,1.5419698598350111
269,1.4674705481352717
270,2.7536121640929574
271,1.625384793294459
272,2.3060756605482724
273,2.543631888892874
274,3.3520286878383336
275,3.2544975141970163
276,3.060570899200988
277,3.609961838730605
278,3.8092366421924946
279,2.9977419323033367
280,4.612398667639865
281,2.5380181083238935
282,1.7593598546219118
283,2.8983434406089077
284,2.840643833630865
285,2.4276203692292513
286,2.175437871108117
287,1.846086436538311
288,2.6199311039803175
289,2.7906799039056773
290,2.4054115827611855
291,0.9956712096124525
292,2.7692654792908824
293,1.0403278746341147
294,1.9565686454484061
295,1.6003703128740256
296,0.9366579087611622
297,2.6607274207352463
298,2.8007590025675784
299,0.718248076924456
300,2.135059655217793
301,1.5952130975303418
302,1.6255385256670452
303,2.272552363286696
304,2.529069081697272
305,3.377565064604225
306,1.8664485037273166
307,3.1838490174353415
308,2.0957892195964862
309,3.850586953953851
310,3.191651588570381
311,1.518390563972547
312,2.2693904918575494
313,1.5438388855794047
314,2.3014691654813606
315,1.9216283371104443
316,1.7596045314209094
317,2.173838952007978
318,1.3052059976508925
319,2.6819895949395036
320,2.790672889740971
321,2.7305043975731182
322,2.933461642175833
323,3.3632557545357487
324,2.261575790710275
325,2.364876261463675
326,2.357730466874833
327,2.7847761240147055
328,1.268521703407663
329,2.920739581252458
330,2.280242782411622
331,0.7783809168980824
332,2.39290521322869
333,0.9321482802606771
334,2.3034315904834646
335,1.6018782286030286
336,2.2474084116594146
337,1.7594256985801944
338,3.294490536262476
339,3.3232799338637653
340,3.60575270648773
341,3.939384754330435
342,1.3655513249292865
343,3.109065959569905
344,2.4603356850599383
345,2.1567211550494925
346,1.6592522968864043
347,2.996714703878463
348,3.128885066413474
349,3.067018301078207
350,1.6519383009598028
351,1.4671589905897475
352,3.0303792421920033
353,1.7859664873531567
354,2.2235115911220946
355,2.3675541708410694
356,2.009187462439383
357,3.114381128801165
358,1.4748359293456343
359,2.9506009689859285
360,0.9248556368868794
361,3.0576446285788283
362,0.7040509874821177
363,3.0750802461528344
364,2.964688352765819
365,1.1128946481042117
366,2.941714579875038
367,1.4764988027695725
368,2.2070132152204933
369,2.5305580088960964
370,2.394422435791122
371,2.799355688391545
372,2.669833738659944
373,3.318363927588404
374,1.542717413078051
375,2.756526597778724
376,1.438622588892994
377,2.831948047009199
378,1.019238361608767
379,2.8920658611179855
380,2.824951863871063
381,1.061026108847651
382,2.5557352308841885
383,1.8862579802105819
384,3.0417244898364726
385,2.069771199677068
386,2.6739225333195122
387,2.729568966035868
388,2.893217992358916
389,2.8403632867950708
390,2.176292319592388
391,2.908976852874568
392,2.057493604656878
393,3.310077080048918
394,3.1942851490327624
395,1.912614480009383
396,2.9774271144595383
397,1.9375473531730854
398,2.6032858986898946
399,2.4711024934885355
400,2.457765894127525
401,2.5373194209237413
402,1.9069779939270222
403,3.0652331122689986
404,3.0999779368011375
405,4.565921817338162
406,4.352634499927124
407,1.7027291299062468
